Unnamed: 0,Team,Player,Allstars,College,Play_Yrs,Games,Year,Pick,Player_ID,Season_ID,Conference,League_ID,Games_Played,Minutes,Points,O_Rebounds,D_Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Attempted,FG_Made,FT_Attempted,FT_Made,Three_Attempted,Three_Made
144.0,MNL,Johnny Orr,False,Beloit College,1.0,34.0,1948.0,64.0,,,,,,,,,,,,,,,,,,,,,
213.0,STB,Johnny Orr,False,Beloit College,1.0,34.0,1949.0,18.0,,,,,,,,,,,,,,,,,,,,,
145.0,MNL,Junior Skogland,False,Gustavus Adolphus,,,1948.0,65.0,,,,,,,,,,,,,,,,,,,,,
146.0,MNL,Quentin Stinson,False,Southern Illinois University,,,1948.0,66.0,,,,,,,,,,,,,,,,,,,,,
147.0,NYK,Gene Berce,False,Marquette University,1.0,3.0,1948.0,67.0,,,,,,,,,,,,,,,,,,,,,
148.0,NYK,Leland Byrd,False,West Virginia University,,,1948.0,68.0,,,,,,,,,,,,,,,,,,,,,
150.0,NYK,Keith Grimes,False,East Central University,,,1948.0,70.0,,,,,,,,,,,,,,,,,,,,,
151.0,NYK,Mel McGaha,False,University of Arkansas,1.0,51.0,1948.0,71.0,,,,,,,,,,,,,,,,,,,,,
152.0,NYK,Ed Peterson,False,Cornell University,2.0,115.0,1948.0,72.0,,,,,,,,,,,,,,,,,,,,,
153.0,NYK,Tex Ritter,False,Eastern Kentucky University,3.0,151.0,1948.0,73.0,,,,,,,,,,,,,,,,,,,,,
154.0,NYK,Dick Shrider,False,Ohio University,1.0,4.0,1948.0,74.0,,,,,,,,,,,,,,,,,,,,,
155.0,NYK,John Stanich,False,"University of California, Los Angeles",,,1948.0,75.0,,,,,,,,,,,,,,,,,,,,,
156.0,PHW,William Brown,False,University of Maryland,,,1948.0,76.0,,,,,,,,,,,,,,,,,,,,,
5097.0,BOS,William Brown,False,Saint Peter's College,,,1982.0,115.0,,,,,,,,,,,,,,,,,,,,,
157.0,PHW,Hugh Compton,False,University of Louisville,,,1948.0,77.0,,,,,,,,,,,,,,,,,,,,,
158.0,PHW,Joe Nelson,False,Brigham Young University,,,1948.0,78.0,,,,,,,,,,,,,,,,,,,,,
325.0,ROC,Joe Nelson,False,Brigham Young University,,,1950.0,56.0,,,,,,,,,,,,,,,,,,,,,
159.0,PHW,Clint Pace,False,Pepperdine University,,,1948.0,79.0,,,,,,,,,,,,,,,,,,,,,
160.0,PHW,Roy Pugh,False,Southern Methodist University,1.0,23.0,1948.0,80.0,,,,,,,,,,,,,,,,,,,,,
161.0,PHW,Tom Short,False,Kansas Wesleyan,,,1948.0,81.0,,,,,,,,,,,,,,,,,,,,,
162.0,PHW,Joe Wahl,False,University of Akron,,,1948.0,82.0,,,,,,,,,,,,,,,,,,,,,
163.0,PHW,Andy Wolfe,False,University of California,,,1948.0,83.0,,,,,,,,,,,,,,,,,,,,,
164.0,PRO,Al Bennett,False,Oklahoma State University,,,1948.0,84.0,,,,,,,,,,,,,,,,,,,,,
166.0,PRO,Ed Faber,False,Trinity University,,,1948.0,86.0,,,,,,,,,,,,,,,,,,,,,
167.0,PRO,Verl Heap,False,Arizona State University,,,1948.0,87.0,,,,,,,,,,,,,,,,,,,,,
168.0,PRO,Otto Snellbacher,False,University of Kansas,,,1948.0,88.0,,,,,,,,,,,,,,,,,,,,,
169.0,PRO,Brady Walker,False,Brigham Young University,4.0,228.0,1948.0,89.0,,,,,,,,,,,,,,,,,,,,,
170.0,ROC,Alex Athas,False,Tulane University,,,1948.0,90.0,,,,,,,,,,,,,,,,,,,,,
171.0,ROC,Bill Gabor,False,Syracuse University,6.0,307.0,1948.0,91.0,,,,,,,,,,,,,,,,,,,,,
172.0,ROC,Ed Keim,False,Niagara University,,,1948.0,92.0,,,,,,,,,,,,,,,,,,,,,
173.0,ROC,Leo Kubiak,False,Bowling Green State University,1.0,62.0,1948.0,93.0,,,,,,,,,,,,,,,,,,,,,
174.0,ROC,Johnny Macknowski,False,Seton Hall University,2.0,117.0,1948.0,94.0,,,,,,,,,,,,,,,,,,,,,
175.0,ROC,Lionel Melamed,False,City College of New York,,,1948.0,95.0,,,,,,,,,,,,,,,,,,,,,
176.0,ROC,Hank O'Keefe,False,Canisius College,,,1948.0,96.0,,,,,,,,,,,,,,,,,,,,,
177.0,ROC,Warren Stickel,False,Syracuse University,,,1948.0,97.0,,,,,,,,,,,,,,,,,,,,,
178.0,ROC,Paul Yesavi,False,Niagara University,,,1948.0,98.0,,,,,,,,,,,,,,,,,,,,,
179.0,STB,Jack Burmaster,False,University of Illinois at Urbana-Champaign,1.0,61.0,1948.0,99.0,,,,,,,,,,,,,,,,,,,,,
180.0,STB,Gordon Flick,False,Drake University,,,1948.0,100.0,,,,,,,,,,,,,,,,,,,,,
181.0,STB,John Hoppin,False,Dickinson College,,,1948.0,101.0,,,,,,,,,,,,,,,,,,,,,
182.0,STB,Dan London,False,Washington University in Saint Louis,,,1948.0,102.0,,,,,,,,,,,,,,,,,,,,,
183.0,STB,D. Miller,False,Saint Louis University,,,1948.0,103.0,,,,,,,,,,,,,,,,,,,,,
184.0,STB,Easy Parham,False,Texas Wesleyan University,3.0,133.0,1948.0,104.0,,,,,,,,,,,,,,,,,,,,,
185.0,STB,D.C. Wilcutt,False,Saint Louis University,2.0,59.0,1948.0,105.0,,,,,,,,,,,,,,,,,,,,,
186.0,WSC,Fred Bartell,False,University of Oregon,,,1948.0,106.0,,,,,,,,,,,,,,,,,,,,,
187.0,WSC,Ed Hughes,False,San Jose State University,,,1948.0,107.0,,,,,,,,,,,,,,,,,,,,,
188.0,WSC,Thorton Jenkins,False,University of Missouri,,,1948.0,108.0,,,,,,,,,,,,,,,,,,,,,
189.0,WSC,Leo Katkaveck,False,North Carolina State University,2.0,107.0,1948.0,109.0,,,,,,,,,,,,,,,,,,,,,
190.0,WSC,C.T. Parker,False,Louisiana Tech University,,,1948.0,110.0,,,,,,,,,,,,,,,,,,,,,
